Destination,FIPS,PalmBeachCountyFL,BrowardCountyFL,Miami-DadeCountyFL,MonroeCountyFL
Orange County FL,12095,54629,72005,111420,3988
Fulton County GA,13121,17072,22501,34819,1246
Leon County FL,12073,13657,18001,27855,997
Hillsborough County FL,12057,11950,15751,24373,872
Osceola County FL,12097,11950,15751,24373,872
Buncombe County NC,37021,11950,15751,24373,872
Polk County FL,12105,8536,11251,17409,623
Alachua County FL,12001,6829,9001,13928,498
Broward County FL,12011,6829,0,13928,498
Collier County FL,12021,6829,9001,13928,498
Escambia County FL,12033,6829,9001,13928,498
Highlands County FL,12055,6829,9001,13928,498
Lake County FL,12069,6829,9001,13928,498
Seminole County FL,12117,6829,9001,13928,498
Volusia County FL,12127,6829,9001,13928,498
Cobb County GA,13067,6829,9001,13928,498
Richland County SC,45079,6829,9001,13928,498
Hamilton County TN,47065,6829,9001,13928,498
Jefferson County AL,01073,5121,6750,10446,374
Mobile County AL,01097,5121,6750,10446,374
Palm Beach County FL,12099,0,6750,10446,374
Sarasota County FL,12115,5121,6750,10446,374
Sumter County FL,12119,5121,6750,10446,374
Natchitoches Parish LA,22069,5121,6750,10446,374
Davidson County TN,47037,5121,6750,10446,374
Sevier County TN,47155,5121,6750,10446,374
Baldwin County AL,01003,3414,4500,6964,249
Lee County AL,01081,3414,4500,6964,249
Tuscaloosa County AL,01125,3414,4500,6964,249
Bay County FL,12005,3414,4500,6964,249
Manatee County FL,12081,3414,4500,6964,249
St. Johns County FL,12109,3414,4500,6964,249
Camden County GA,13039,3414,4500,6964,249
DeKalb County GA,13089,3414,4500,6964,249
Forsyth County GA,13117,3414,4500,6964,249
Macon County GA,13193,3414,4500,6964,249
Marion County IN,18097,3414,4500,6964,249
St. Tammany Parish LA,22103,3414,4500,6964,249
Forrest County MS,28035,3414,4500,6964,249
Wake County NC,37183,3414,4500,6964,249
Medina County OH,39103,3414,4500,6964,249
Greenville County SC,45045,3414,4500,6964,249
Jefferson County TN,47089,3414,4500,6964,249
Williamson County TN,47187,3414,4500,6964,249
Prince Edward County VA,51147,3414,4500,6964,249
Autauga County AL,01001,1707,2250,3482,125
Conecuh County AL,01035,1707,2250,3482,125
Escambia County AL,01053,1707,2250,3482,125
Shelby County AL,01117,1707,2250,3482,125
Washington County AL,01129,1707,2250,3482,125
Winston County AL,01133,1707,2250,3482,125
Maricopa County AZ,04013,1707,2250,3482,125
Riverside County CA,06065,1707,2250,3482,125
Sacramento County CA,06067,1707,2250,3482,125
Santa Cruz County CA,06087,1707,2250,3482,125
New Castle County DE,10003,1707,2250,3482,125
